"filename", "language", "C", "C++", "comment", "blank", "total"
"e:\code\haihe\source\required\standard\assert\std_assert.c", "C", 53, 0, 52, 8, 113
"e:\code\haihe\source\required\standard\assert\std_assert_private.h", "C", 5, 0, 48, 83, 136
"e:\code\haihe\source\required\standard\assert\std_assert_public.h", "C", 9, 0, 80, 85, 174
"e:\code\haihe\source\required\standard\filter\std_filter.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\filter\std_filter_private.h", "C", 3, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\filter\std_filter_public.h", "C", 3, 0, 47, 81, 131
"e:\code\haihe\source\required\standard\library\std_lib.c", "C", -2, 0, -19, -2, -23
"e:\code\haihe\source\required\standard\library\std_lib_private.h", "C++", 0, -4, -48, -83, -135
"e:\code\haihe\source\required\standard\library\std_lib_public.h", "C", -4, 0, -47, -80, -131
"e:\code\haihe\source\required\standard\math\std_math.c", "C", 143, 0, 59, 17, 219
"e:\code\haihe\source\required\standard\math\std_math_private.h", "C++", 0, 6, 48, 83, 137
"e:\code\haihe\source\required\standard\math\std_math_public.h", "C", 14, 0, 87, 83, 184
"e:\code\haihe\source\required\standard\search\std_search.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\search\std_search_private.h", "C", 3, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\search\std_search_public.h", "C++", 0, 3, 47, 81, 131
"e:\code\haihe\source\required\standard\sort\std_sort.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\sort\std_sort_private.h", "C", 3, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\sort\std_sort_public.h", "C++", 0, 3, 47, 81, 131
"e:\code\haihe\source\required\standard\std_public.h", "C", 5, 0, 0, 0, 5
"e:\code\haihe\source\required\standard\string\std_string.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\string\std_string_private.h", "C++", 0, 3, 48, 84, 135
"e:\code\haihe\source\required\standard\string\std_string_public.h", "C", 4, 0, 47, 80, 131
"Total", "-", 247, 11, 716, 861, 1835
