"filename", "language", "C", "C++", "comment", "blank", "total"
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw.c", "C", 129, 0, 123, 38, 290
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw_private.h", "C++", 0, 11, 48, 82, 141
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw_public.h", "C++", 0, 28, 151, 104, 283
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw_private.h", "C++", 0, 4, 48, 83, 135
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw_public.h", "C++", 0, 3, 47, 81, 131
"e:\code\haihe\source\required\standard\delay\std_delay.c", "C", -127, 0, -104, -36, -267
"e:\code\haihe\source\required\standard\delay\std_delay_private.h", "C", -8, 0, 0, 2, -6
"e:\code\haihe\source\required\standard\delay\std_delay_public.h", "C", -23, 0, -104, -25, -152
"e:\code\haihe\source\required\standard\std_public.h", "C", 1, 0, 0, 0, 1
"Total", "-", -26, 46, 228, 331, 579
