"filename", "language", "C++", "C", "comment", "blank", "total"
"e:\code\haihe\source\required\standard\delay\std_delay.c", "C", 0, 127, 104, 36, 267
"e:\code\haihe\source\required\standard\delay\std_delay_private.h", "C", 0, 8, 0, -2, 6
"e:\code\haihe\source\required\standard\delay\std_delay_public.h", "C", 0, 25, 104, 23, 152
"e:\code\haihe\source\required\standard\library\std_lib_private.h", "C++", 1, 0, 0, -1, 0
"e:\code\haihe\source\required\standard\type\std_type_public.h", "C", 0, 3, 0, -3, 0
"Total", "-", 1, 163, 208, 53, 425
