"filename", "language", "C", "comment", "blank", "total"
"e:\code\haihe\source\required\standard\search\sequential\std_sequential_search.c", "C", 14, 29, 7, 50
"e:\code\haihe\source\required\standard\search\sequential\std_sequential_search_private.h", "C", 7, 48, 82, 137
"e:\code\haihe\source\required\standard\search\sequential\std_sequential_search_public.h", "C", 5, 57, 79, 141
"e:\code\haihe\source\required\standard\search\std_search_public.h", "C", 1, 0, -1, 0
"Total", "-", 27, 134, 167, 328
